,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
424,2020-01-09,수인분당선,신포,1974,2015,3989
425,2020-01-09,수인분당선,인천,1085,1826,2911
426,2020-01-10,수인분당선,선릉,15202,24680,39882
427,2020-01-10,수인분당선,한티,17890,18829,36719
428,2020-01-10,수인분당선,도곡,8286,8241,16527
429,2020-01-10,수인분당선,구룡,1946,1853,3799
430,2020-01-10,수인분당선,개포동,4276,4570,8846
431,2020-01-10,수인분당선,대모산입구,4060,3677,7737
432,2020-01-10,수인분당선,수서,18149,18324,36473
433,2020-01-10,수인분당선,복정,2,0,2
434,2020-01-10,수인분당선,수원,10442,7388,17830
435,2020-01-10,수인분당선,서울숲,9875,9967,19842
436,2020-01-10,수인분당선,압구정로데오,20516,24014,44530
437,2020-01-10,수인분당선,강남구청,12046,13880,25926
438,2020-01-10,수인분당선,선정릉,9659,10261,19920
439,2020-01-10,수인분당선,가천대,8363,8995,17358
440,2020-01-10,수인분당선,태평,16166,15707,31873
441,2020-01-10,수인분당선,모란,24915,25341,50256
442,2020-01-10,수인분당선,야탑,34427,36289,70716
443,2020-01-10,수인분당선,서현,34453,35344,69797
444,2020-01-10,수인분당선,수내,17214,17031,34245
445,2020-01-10,수인분당선,정자,21417,23186,44603
446,2020-01-10,수인분당선,미금,20579,21976,42555
447,2020-01-10,수인분당선,오리,15192,12613,27805
448,2020-01-10,수인분당선,이매,7309,6747,14056
449,2020-01-10,수인분당선,보정,3076,2515,5591
450,2020-01-10,수인분당선,죽전,17879,19060,36939
451,2020-01-10,수인분당선,구성,6087,5923,12010
452,2020-01-10,수인분당선,신갈,5986,5734,11720
453,2020-01-10,수인분당선,기흥,12061,11197,23258
454,2020-01-10,수인분당선,상갈,7132,6333,13465
455,2020-01-10,수인분당선,청명,5366,4731,10097
456,2020-01-10,수인분당선,영통,11315,11356,22671
457,2020-01-10,수인분당선,망포,17845,15733,33578
458,2020-01-10,수인분당선,매탄권선,5539,5067,10606
459,2020-01-10,수인분당선,수원시청,14271,17486,31757
460,2020-01-10,수인분당선,매교,2709,2835,5544
461,2020-01-10,수인분당선,달월,75,43,118
462,2020-01-10,수인분당선,월곶,2642,2397,5039
463,2020-01-10,수인분당선,소래포구,5365,4952,10317
464,2020-01-10,수인분당선,인천논현,7008,7352,14360
465,2020-01-10,수인분당선,호구포,4158,4022,8180
466,2020-01-10,수인분당선,남동인더스파크,2320,2558,4878
467,2020-01-10,수인분당선,원인재,4998,5020,10018
468,2020-01-10,수인분당선,연수,5466,5698,11164
469,2020-01-10,수인분당선,송도,3084,2817,5901
470,2020-01-10,수인분당선,인하대,6101,5680,11781
471,2020-01-10,수인분당선,숭의,4306,3865,8171
472,2020-01-10,수인분당선,신포,1969,2074,4043
473,2020-01-10,수인분당선,인천,1158,1964,3122
474,2020-01-11,수인분당선,선릉,6367,10703,17070
475,2020-01-11,수인분당선,한티,15800,15278,31078
476,2020-01-11,수인분당선,도곡,5440,4978,10418
477,2020-01-11,수인분당선,구룡,1109,1069,2178
478,2020-01-11,수인분당선,개포동,2871,2920,5791
479,2020-01-11,수인분당선,대모산입구,2872,2563,5435
480,2020-01-11,수인분당선,수서,13129,13136,26265
481,2020-01-11,수인분당선,복정,1,0,1
482,2020-01-11,수인분당선,수원,8836,6239,15075
483,2020-01-11,수인분당선,서울숲,6655,6826,13481
484,2020-01-11,수인분당선,압구정로데오,17532,20305,37837
485,2020-01-11,수인분당선,강남구청,6773,7956,14729
486,2020-01-11,수인분당선,선정릉,4623,4700,9323
487,2020-01-11,수인분당선,가천대,5764,6307,12071
488,2020-01-11,수인분당선,태평,12768,12258,25026
489,2020-01-11,수인분당선,모란,21066,21263,42329
490,2020-01-11,수인분당선,야탑,24942,26754,51696
491,2020-01-11,수인분당선,서현,25425,25363,50788
492,2020-01-11,수인분당선,수내,11090,10404,21494
493,2020-01-11,수인분당선,정자,13310,13529,26839
